user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
mykey4real,6925640541264004102,7094251439513455918,Sometimes you have to roll down a hill when you’re feeling it. 💯#sometimesyougotta #rollingpanda  #whenthegummieskickin #easygoing,2022-05-05 06:58:50,5,https://www.tiktok.com/@mykey4real/video/7094251439513455918?lang=en,322,29,269,3156
30secondstosaturn,6806663339944461317,7126973515277946154,#whenthegummieskickin #gummy #ediblegold #prehistoric #dinosaur #trex #riverfloat,2022-08-01 11:17:14,43,https://www.tiktok.com/@30secondstosaturn/video/7126973515277946154?lang=en,177,17,13,984
nats_house,6794958311126729733,7065720403544558895,#whenthegummieskickin #thc #high #fyp #finelikewine #puertorico,2022-02-17 08:43:51,85,https://www.tiktok.com/@nats_house/video/7065720403544558895?lang=en,135,15,11,4818
wizdomhailz,6903855124649706501,6925414176177392902,#duo avec @shantal.heavymetal #themask #cubanpetechallenge #cubanpete #duets #friends #whenthegummieskickin #fyp #over30 #fun,2021-02-04 06:24:18,9,https://www.tiktok.com/@wizdomhailz/video/6925414176177392902?lang=en,84,0,8,596
nickicoontz,23710808,7054008246746795310,#whenthegummieskickin #icantunderstandyou  judging living our best lives! Hahah,2022-01-16 19:14:41,30,https://www.tiktok.com/@nickicoontz/video/7054008246746795310?lang=en,79,23,8,1962
shannonmcerv,6658729492163280902,6951929161518746886,#whenthegummieskickin #besties #fyp #foryou #middleagecrazy,2021-04-16 18:15:45,15,https://www.tiktok.com/@shannonmcerv/video/6951929161518746886?lang=en,71,16,0,1067
hispet85_heranswer69,6888553270240592902,6967178390163983622,#stayinguplate #whenthegummieskickin #18plusonly,2021-05-27 20:30:34,12,https://www.tiktok.com/@hispet85_heranswer69/video/6967178390163983622?lang=en,46,24,3,1477
barrrrrra,6724957606672073734,7058025522802068737,wake up !!!!!!!!!!!!#whenthegummieskickin #merrychristmas #smokeweederyday #wtf #nang,2022-01-27 15:03:47,9,https://www.tiktok.com/@barrrrrra/video/7058025522802068737?lang=en,33,1,2,914
teresa78n,7076187323926905898,7078387766601501995,#whenthegummieskickin #fyp #mickeymouse,2022-03-23 12:59:40,15,https://www.tiktok.com/@teresa78n/video/7078387766601501995?lang=en,31,20,10,1319
koolkidkenziiee,6658413473053097990,7132608237836455214,#gymtom #whenthegummieskickin ,2022-08-16 15:42:49,11,https://www.tiktok.com/@koolkidkenziiee/video/7132608237836455214?lang=en,30,0,2,279
jennie_from_the_block_,6739248337565811717,7011877694656761093,#lmao #live #goinglive #drunk #drunkaf #live #girlsbelike #high #ChimeHasYourBack #funny #fyp #fypシ #foryoupage #tiktoklive #slur #alcohol #titos #mom,2021-09-25 07:26:38,8,https://www.tiktok.com/@jennie_from_the_block_/video/7011877694656761093?lang=en,28,1,8,762
deswazhere,7025849231680504838,7053986443089235247,Sorry Dani #sheneedsthedrama #tiktok #fyp #foryou #drama #whenthegummieskickin,2022-01-16 17:50:05,10,https://www.tiktok.com/@deswazhere/video/7053986443089235247?lang=en,24,0,3,252
barrrrrra,6724957606672073734,7041848592088321282,#whenthegummieskickin #chadlord #tiktok #funny #ibeatmywife #merrychristmas,2021-12-15 00:49:01,13,https://www.tiktok.com/@barrrrrra/video/7041848592088321282?lang=en,21,1,1,588
barrrrrra,6724957606672073734,7041359374606011649,#disneyplusvoices #whenthegummieskickin #thefloorislava,2021-12-13 17:10:39,15,https://www.tiktok.com/@barrrrrra/video/7041359374606011649?lang=en,21,0,0,395
mistibluday,6732983383242359814,7120673659831733546,#gummies #fyp #greentok #medicalcard #selfcare #anxietyrelief #comedy #whenthegummieskickin,2022-07-15 11:50:34,7,https://www.tiktok.com/@mistibluday/video/7120673659831733546?lang=en,21,0,0,883
deadly_thana,6597104243442040833,7118451007373200682,when the gummies kick in #whentheediblehits #whenthegummieskickin #trending #foryoupage #foryourpage #fyp #alttok #gothtok ##munchies,2022-07-09 12:05:32,9,https://www.tiktok.com/@deadly_thana/video/7118451007373200682?lang=en,16,0,0,311
mel_o_dy_tx,6985706499784786950,7078471269959716142,Night on the patio… when the gummies …..#whenthegummieskickin #OscarsAtHome #fyp #WomenOwnedBusiness #mickeymouse #gummies #AEMembersAlways,2022-03-23 18:23:42,15,https://www.tiktok.com/@mel_o_dy_tx/video/7078471269959716142?lang=en,13,0,1,444
celestial_familly_,6907635513937298437,7044312583909772549,Bruh lil red is flying#lilred#Amongus#whenthegummieskickin#plush#stuffie#wow#halelulja,2021-12-21 16:10:34,13,https://www.tiktok.com/@celestial_familly_/video/7044312583909772549?lang=en,17,0,1,156
momshighupinthetreehouse,7015782929852220422,7131823594232974638,#WhenTheGummiesKickIn #TreehouseLife @makitatoolsofficial ,2022-08-14 12:58:00,25,https://www.tiktok.com/@momshighupinthetreehouse/video/7131823594232974638?lang=en,8,0,0,555
bmur82,6915801363932054533,7054798076938112303,#funnyvideos #funnydogs #whenthegummieskickin #fyp,2022-01-18 22:19:39,10,https://www.tiktok.com/@bmur82/video/7054798076938112303?lang=en,7,2,0,575
kaylariggs24,6799408968650310662,7069191820525178158,Poor guy not gonna lie it was funny #birthday #afterparty  #whenthegummieskickin #stonerpup #like #follow,2022-02-26 17:14:42,20,https://www.tiktok.com/@kaylariggs24/video/7069191820525178158?lang=en,7,0,0,253
teamelders,6808277596973089797,7003523647805689094,#fypシ  #whenthegummieskickin  #tiktokdance #loveyourself  #carelesswhatpeoplethink #beyourself  #enjoylife  #morefollowers🙏,2021-09-02 19:08:40,9,https://www.tiktok.com/@teamelders/video/7003523647805689094?lang=en,9,1,0,668
brownsugaboss_chic,6951909245152265221,7086598554176785707,When the gummies kick in  ! #PassTheBIC #ComeDanceWithMe #EasyWithAdobeExpress #ScreamItOut #tiktokviral #tiktokforyourpage #tiktokbunny #tiktokfunnyvideos #nomoregummies #whenthegummieskickin,2022-04-14 16:01:43,35,https://www.tiktok.com/@brownsugaboss_chic/video/7086598554176785707?lang=en,7,0,1,318
cinta_g,6813213350777848837,7019703576410819846,#whenthegummieskickin,2021-10-16 09:35:03,36,https://www.tiktok.com/@cinta_g/video/7019703576410819846?lang=en,7,1,0,174
kellyann1975,6838309219763340294,6868056056606641413,#whenthegummieskickin #lolisgoodforthesoul #bellylaughs laughing with my bff@darlenep20,2020-09-02 17:45:31,15,https://www.tiktok.com/@kellyann1975/video/6868056056606641413?lang=en,3,0,0,101
aleksandragertz,6840478338470839301,6916387680674761990,#fyp #whenthegummieskickin #fitnessgirls,2021-01-10 22:38:44,15,https://www.tiktok.com/@aleksandragertz/video/6916387680674761990?lang=en,1,0,0,235
onassisnyc,6548868108127567877,7013782922801007877,When the edibles finally kick in 😵‍💫😅🍃#whenthegummieskickin #trending #viral #stonetok #foryou #foryoupage #fyp #marvel #doctorstrange,2021-09-30 10:39:53,18,https://www.tiktok.com/@onassisnyc/video/7013782922801007877?lang=en,10,3,1,313
irishnick,6519713414758907906,7108875841085525294,#whenthegummieskickin #gummies #link #in #bio #delta #8,2022-06-13 16:48:58,17,https://www.tiktok.com/@irishnick/video/7108875841085525294?lang=en,5,0,0,38
shannonhope45,6902790151609664518,7063095490979810607,#420momsoftiktok #thcok #whenthegummieskickin,2022-02-10 06:57:52,33,https://www.tiktok.com/@shannonhope45/video/7063095490979810607?lang=en,3,0,0,14
oliviapearl2024,6810193883613545477,7017057119518199046,#whenthegummieskickin #cheerleading #blackvibes,2021-10-09 06:25:27,48,https://www.tiktok.com/@oliviapearl2024/video/7017057119518199046?lang=en,8,5,3,454
